HAMBURGUER;Calorias (kcal);Carboidratos (g);Proteinas (g);Gorduras totais (g);Gorduras saturadas (g);Fibra alimentar (g);Sodio (mg)
WHOPPER;819;48;39;51;19;6;1135
WHOPPER Duplo;1167;48;65;76;76;6;1179
WHOPPER Furioso;1067;55;50;64;24;5;1793
WHOPPER Jr.;496;31;22;27;11;3;566
WHOPPER Barbecue Bacon;579;41;27;33;13;3;1239
WHOPPER Rodeio;765;83;20;39;9;7;2233
Pao, Carne e Queijo;363;28;21;18;9;2;379
Cheeseburger;408;31;22;20;10;2;723
Cheeseburger Bacon;467;30;27;25;12;2;958
Stacker Duplo Bacon;864;46;49;53;23;1;1685
Stacker Triplo;1675;47;108;113;53;4;2274
Cheddar;378;30;19;19;9;2;525
Cheddar Duplo;607;32;35;36;18;2;690
Big King;739;44;35;46;18;2;1038
Mega Stacker 2.0;1311;50;75;87;35;4;2117
Mega Stacker 3.0;1913;54;113;134;61;4;3212
Mega Stacker Atomico 2.0;1768;55;109;120;50;4;4.167
Mega Stacker Atomico 3.0;2263;57;141;159;71;4;4794
Mega Stacker Cheddar 2.0;1274;51;73;84;33;4;2020
Mega Stacker Cheddar 3.0;1718;54;105;116;49;4;2511
BK Original;714;32;39;50;21;4;811
BK Cheddar Original;541;33;38;32;16;0;550
Rodeio;588;50;23;32;12;3;1252
Rodeio Duplo;801;51;38;47;19;0;1313
Chicken Jr.;345;35;16;16;3;3;733
BK Chicken Crispy;406;42;19;18;3;1;944
Chicken Duplo;591;45;28;33;8;4;1339
Veggie Burger;424;43;13;21;10;5;759
WHOPPER de Plantas;702;54;26;42;17;11;1707
